App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 02:32:55 PM","1 min 54 sec",""

Time  [ms],"Battery Status",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
35176,0,35296,1944063,33673,342,Sgemm::NativeCThreaded::IO::Start,
35276,0,35399,1982063,33773,342,Sgemm::NativeCThreaded::IO::Start,
35377,0,35498,1792836,33873,342,Sgemm::NativeCThreaded::IO::Start,
35477,0,35599,1717003,33974,342,Sgemm::NativeCThreaded::IO::Start,
35577,0,35699,1891441,34074,342,Sgemm::NativeCThreaded::IO::Start,
35678,0,35798,2123264,34174,342,Sgemm::NativeCThreaded::IO::Start,
35778,0,35899,2170601,34274,342,Sgemm::NativeCThreaded::IO::Start,
35879,0,36000,2118076,34375,342,Sgemm::NativeCThreaded::IO::Start,
35980,0,36101,2095759,34475,342,Sgemm::NativeCThreaded::IO::Start,
36080,0,36205,2348928,34575,342,Sgemm::NativeCThreaded::IO::Start,
36180,0,36310,2325404,34675,342,Sgemm::NativeCThreaded::IO::Start,
36281,0,36403,1896212,34775,342,Sgemm::NativeCThreaded::IO::Start,
36382,0,36503,2175147,34876,342,Sgemm::NativeCThreaded::IO::Start,
36483,0,36604,2114087,34976,342,Sgemm::NativeCThreaded::IO::Start,
36583,0,36704,2172843,35076,342,Sgemm::NativeCThreaded::IO::Start,
36684,0,36805,1358448,35176,342,Sgemm::NativeCThreaded::IO::Start,
36785,0,36905,1911079,35277,342,Sgemm::NativeCThreaded::IO::Start,
36885,0,37007,1803122,35377,342,Sgemm::NativeCThreaded::IO::Start,
36986,0,37107,1791982,35477,342,Sgemm::NativeCThreaded::IO::Start,
37087,0,37210,1559584,35577,342,Sgemm::NativeCThreaded::IO::Start,
37187,0,37320,1937014,35678,342,Sgemm::NativeCThreaded::IO::Start,
37290,0,37428,2079529,35740,343,Sgemm::NativeCThreaded::IO::Stop,
37391,0,37511,2197388,35742,593,Sgemm::NativeCThreaded::Allocate::Start,
37491,0,37613,1833016,35743,594,Sgemm::NativeCThreaded::Allocate::Stop,
37592,0,37712,1810292,35746,876,Sgemm::NativeCThreaded::Init::Start,
37692,0,37815,2135016,35748,877,Sgemm::NativeCThreaded::Init::Stop,
37793,0,37915,1830395,35750,793,Sgemm::NativeCThreaded::Setup::Start,
37894,0,38015,1984418,35753,794,Sgemm::NativeCThreaded::Setup::Stop,
37995,0,38115,2187512,35756,593,Sgemm::NativeCThreaded::Allocate::Start,
38095,0,38217,2009033,35757,594,Sgemm::NativeCThreaded::Allocate::Stop,
