App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 02:35:20 PM","2 min 54 sec",""

Time  [ms],"Battery Status",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
34941,0,35062,1985804,31532,47,Stencil::Java::Compute::Start,
35042,0,35162,2006185,31633,47,Stencil::Java::Compute::Start,
35142,0,35281,2592379,31733,47,Stencil::Java::Compute::Start,
35242,0,35365,2662328,31833,47,Stencil::Java::Compute::Start,
35342,0,35464,1995879,31933,47,Stencil::Java::Compute::Start,
35443,0,35563,2162843,32034,47,Stencil::Java::Compute::Start,
35543,0,35664,1986668,32134,47,Stencil::Java::Compute::Start,
35643,0,35764,2063911,32234,47,Stencil::Java::Compute::Start,
35744,0,35864,2045844,32335,47,Stencil::Java::Compute::Start,
35844,0,35964,2115797,32435,47,Stencil::Java::Compute::Start,
35944,0,36064,2091198,32535,47,Stencil::Java::Compute::Start,
36044,0,36166,2038927,32635,47,Stencil::Java::Compute::Start,
36145,0,36267,2296438,32736,47,Stencil::Java::Compute::Start,
36245,0,36376,2133861,32836,47,Stencil::Java::Compute::Start,
36346,0,36470,2034264,32936,47,Stencil::Java::Compute::Start,
36446,0,36567,2079172,33037,47,Stencil::Java::Compute::Start,
36546,0,36668,2076865,33137,47,Stencil::Java::Compute::Start,
36646,0,36767,2077293,33237,47,Stencil::Java::Compute::Start,
36747,0,36868,2070748,33337,47,Stencil::Java::Compute::Start,
36847,0,36968,2065661,33437,47,Stencil::Java::Compute::Start,
36947,0,37071,2176319,33538,47,Stencil::Java::Compute::Start,
37049,0,37170,2115797,33638,47,Stencil::Java::Compute::Start,
37149,0,37274,2563169,33738,47,Stencil::Java::Compute::Start,
37249,0,37370,2328337,33839,47,Stencil::Java::Compute::Start,
37350,0,37471,2045844,33939,47,Stencil::Java::Compute::Start,
37450,0,37570,2122714,34039,47,Stencil::Java::Compute::Start,
37550,0,37672,2110999,34139,47,Stencil::Java::Compute::Start,
37651,0,37772,2070271,34240,47,Stencil::Java::Compute::Start,
37751,0,37871,2110999,34340,47,Stencil::Java::Compute::Start,
37851,0,37973,2034698,34440,47,Stencil::Java::Compute::Start,
37952,0,38073,2025475,34541,47,Stencil::Java::Compute::Start,
38052,0,38173,2060491,34641,47,Stencil::Java::Compute::Start,
38152,0,38282,2013243,34741,47,Stencil::Java::Compute::Start,
38252,0,38374,2058191,34841,47,Stencil::Java::Compute::Start,
38353,0,38482,2123858,34942,47,Stencil::Java::Compute::Start,
38453,0,38576,2116937,35042,47,Stencil::Java::Compute::Start,
38553,0,38675,2144238,35142,47,Stencil::Java::Compute::Start,
38653,0,38774,2146549,35242,47,Stencil::Java::Compute::Start,
38754,0,38875,2162312,35343,47,Stencil::Java::Compute::Start,
38854,0,38976,2102345,35443,47,Stencil::Java::Compute::Start,
38954,0,39075,2120409,35543,47,Stencil::Java::Compute::Start,
39055,0,39175,2111780,35644,47,Stencil::Java::Compute::Start,
39155,0,39281,2463941,35744,47,Stencil::Java::Compute::Start,
39255,0,39377,2152490,35844,47,Stencil::Java::Compute::Start,
39357,0,39478,2428497,35944,47,Stencil::Java::Compute::Start,
39457,0,39597,1536918,36044,47,Stencil::Java::Compute::Start,
39557,0,39683,1884560,36145,47,Stencil::Java::Compute::Start,
39658,0,39779,2306724,36246,47,Stencil::Java::Compute::Start,
39758,0,39879,1936418,36346,47,Stencil::Java::Compute::Start,
39858,0,39980,2218157,36446,47,Stencil::Java::Compute::Start,
39959,0,40080,1796111,36546,47,Stencil::Java::Compute::Start,
40059,0,40180,1986339,36647,47,Stencil::Java::Compute::Start,
40159,0,40286,2162894,36747,47,Stencil::Java::Compute::Start,
40259,0,40380,2205591,36847,47,Stencil::Java::Compute::Start,
40360,0,40481,1979440,36948,47,Stencil::Java::Compute::Start,
40460,0,40581,1927582,37049,47,Stencil::Java::Compute::Start,
40561,0,40704,2100039,37149,47,Stencil::Java::Compute::Start,
40662,0,40788,2440948,37250,47,Stencil::Java::Compute::Start,
40763,0,40884,1896723,37350,47,Stencil::Java::Compute::Start,
40863,0,40986,1955195,37450,47,Stencil::Java::Compute::Start,
